N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
136,하이트진로,"29,900",600,-1.97%,"5,000","20,970","70,134",4.20,"231,414",40.74,8.23,
137,대우조선해양,"19,450",800,-3.95%,"5,000","20,868","107,291",4.86,"339,426",-1.41,2.27,
138,KODEX MSCI Korea TR,"11,850",270,-2.23%,0,"20,690","174,600",6.21,"405,003",N/A,N/A,
139,현대로템,"18,900",400,-2.07%,"5,000","20,628","109,142",3.39,"995,029",65.85,2.84,
140,녹십자,"176,500","5,000",-2.75%,"5,000","20,627","11,687",22.87,"60,053",23.91,7.48,
141,영원무역,"46,450","1,000",-2.11%,500,"20,583","44,311",28.03,"132,265",8.93,8.03,
142,TIGER 200,"36,750",905,-2.40%,0,"20,341","55,350",0.91,"3,051,214",N/A,N/A,
143,효성첨단소재,"453,000","23,000",-4.83%,"5,000","20,294","4,480",10.48,"69,047",9.45,0.03,
144,농심,"324,000","3,000",-0.92%,"5,000","19,708","6,083",13.04,"70,430",18.46,7.50,
145,후성,"21,050",800,-3.66%,500,"19,494","92,607",7.91,"1,694,504",70.88,2.79,
146,효성티앤씨,"437,000","6,000",-1.35%,"5,000","18,912","4,328",17.08,"59,613",2.68,25.10,
147,현대위아,"67,200","1,500",-2.18%,"5,000","18,275","27,195",6.24,"227,090",50.07,1.96,
148,휠라홀딩스,"29,900",750,-2.45%,"1,000","18,165","60,752",43.63,"341,500",7.72,10.94,
149,롯데정밀화학,"70,300","2,400",-3.30%,"5,000","18,137","25,800",22.35,"266,691",4.26,12.65,
150,한미반도체,"36,200",150,-0.41%,200,"17,904","49,460",6.22,"537,763",21.52,21.03,
151,TIGER 미국나스닥100,"76,820","1,220",-1.56%,0,"17,646","22,970",0.00,"483,107",N/A,N/A,
152,한샘,"74,400","2,100",-2.75%,"1,000","17,509","23,534",16.27,"116,396",21.89,10.83,
153,KODEX 레버리지,"20,155","1,015",-4.79%,0,"17,414","86,400",0.88,"45,594,018",N/A,N/A,
154,효성,"82,400","2,400",-2.83%,"5,000","17,363","21,071",8.27,"72,441",4.48,-2.26,
155,더존비즈온,"57,100","1,300",-2.23%,500,"17,349","30,383",39.69,"118,978",27.95,15.09,
156,코오롱인더,"61,500","1,700",-2.69%,"5,000","16,924","27,519",19.86,"220,444",9.55,9.70,
157,TIGER MSCI Korea TR,"14,885",330,-2.17%,0,"16,716","112,300",14.25,"20,490",N/A,N/A,
158,현대백화점,"71,400","1,900",-2.59%,"5,000","16,709","23,402",18.24,"83,162",10.80,1.65,
159,LS,"50,800","1,600",-3.05%,"5,000","16,358","32,200",13.66,"100,818",6.38,3.94,
160,오뚜기,"443,000","7,000",-1.56%,"5,000","16,267","3,672",11.64,"5,103",14.71,7.93,
161,KODEX 단기채권,"103,140",0,0.00%,0,"16,150","15,658",0.00,"69,757",N/A,N/A,
162,JB금융지주,"8,100",190,-2.29%,"5,000","15,956","196,983",42.17,"475,199",3.34,10.06,
163,두산,"94,900","5,000",-5.01%,"5,000","15,681","16,524",10.46,"65,945",-54.67,-34.34,
164,동원시스템즈,"53,700","1,200",-2.19%,"5,000","15,674","29,188",13.20,"54,909",24.32,10.97,
165,일진하이솔루스,"42,600","2,400",-5.33%,500,"15,469","36,313",2.36,"190,926",79.48,34.27,
166,DGB금융지주,"9,100",350,-3.70%,"5,000","15,392","169,146",49.28,"572,180",3.25,6.93,
